구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,캔류,합성,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,수지류,스틱류,수지류,,,,,,,,폐기물,,,,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,
전국,합계,발생량,발생량,43411.2,18157.2,15383.3,972.1,5047,1087.7,817.2,2858.7,4600.6,2773.9,480,404.3,298.7,1590.9,0,11928.5,4133.8,1580.9,664.9,1014.9,1017.5,0,120.1,20.8,9.4,5,48,1630.8,146.3,440.3,374.6,15.2,706,13325.5
전국,합계,처리방법,매립,5953.2,5806.4,3739.6,224.1,1165.1,210.4,182.8,748.7,1208.5,2066.8,363.5,208.4,253.5,1241.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.8
전국,합계,처리방법,소각,12074.9,11761.7,11113.4,737.9,3675.7,828.1,624.4,1983.8,3263.5,648.3,101,177.4,43.5,326.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.2
전국,합계,처리방법,재활용,25383.1,589.1,530.3,10.1,206.2,49.2,10,126.2,128.6,58.8,15.5,18.5,1.7,23.1,0,11928.5,4133.8,1580.9,664.9,1014.9,1017.5,0,120.1,20.8,9.4,5,48,1630.8,146.3,440.3,374.6,15.2,706,12865.5
서울,종로구,발생량,발생량,284.3,103.3,103,0,0.6,4.1,0.4,0.5,97.4,0.3,0,0,0,0.3,0,91.2,26.6,16.9,9.2,4.1,12,0,4,0.4,0,0,13,0.4,0.5,0,0,2.9,1.2,89.8
서울,종로구,처리방법,매립,30.8,30.8,30.5,0,0,0,0.3,0.4,29.8,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,종로구,처리방법,소각,72.5,72.5,72.5,0,0.6,4.1,0.1,0.1,67.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,종로구,처리방법,재활용,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.2,26.6,16.9,9.2,4.1,12,0,4,0.4,0,0,13,0.4,0.5,0,0,2.9,1.2,89.8
서울,중구,발생량,발생량,434.3,151.1,150.1,0,38,18.3,12.9,24.7,56.2,1,1,0,0,0,0,176.4,140.5,10.5,1.8,0.4,0.8,0,0,0,0,0,0.4,22,0,0,0,0,0,106.8
서울,중구,처리방법,매립,20.4,20.4,19.4,0,5.7,2.7,2,1.9,7.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,중구,처리방법,소각,130.7,130.7,130.7,0,32.3,15.6,10.9,22.8,49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
