구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,금속캔,비닐류,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,재활용,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,(합성수지류),스틱류,수지류,,,,,,,,폐기물,,,,잔재물,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산,중구,처리방법,매립,8.9,8.9,6.3,0.2,1.3,0,0.4,1.4,3,2.5,0.4,0.2,0,1.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,중구,처리방법,소각,12.2,12.2,9.6,2,4.7,0,0.1,2.5,0.3,0.3,0.1,0.1,0,0.1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,중구,처리방법,재활용,50.3,24.2,18.2,3.5,6.5,1.8,1.8,2.8,1.8,4.5,0.8,0.9,0.8,2,1.5,12.9,4.1,1,0.4,2,1.9,0.2,0.4,0,0,0,0,0.1,0.2,0,0,0,0,2.6,13.2
부산,서구,발생량,발생량,106.2,34.2,31.6,6,10,1.6,1.3,7.2,5.5,2.6,0.3,0.1,0,2.2,0,50.2,19.3,1.4,2,9.2,7.7,1.1,1.8,0,0,0,0,0.5,0.5,0,0,0,0.1,6.6,21.8
부산,서구,처리방법,매립,3.6,3.6,2.7,0.1,0.4,0,0,1.5,0.7,0.9,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,서구,처리방법,소각,9.9,9.9,8.6,1.7,3.7,0.5,1,1.7,0,1.3,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,서구,처리방법,재활용,92.7,20.7,20.3,4.2,5.9,1.1,0.3,4,4.8,0.4,0.3,0.1,0,0,0,50.2,19.3,1.4,2,9.2,7.7,1.1,1.8,0,0,0,0,0.5,0.5,0,0,0,0.1,6.6,21.8
부산,동구,발생량,발생량,90,29.4,25.6,1.5,3,1.2,0.9,2.6,16.4,1.5,0,0,0,1.5,2.3,43.9,17.2,1.8,1.7,9.1,6.5,0.9,0.5,0,0,0,0,0.5,0.4,0,0,0,0,5.3,16.7
부산,동구,처리방법,매립,3.5,3.5,2,0.1,0.1,0.1,0.1,0.1,1.5,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,동구,처리방법,소각,7.2,7.2,6.3,1.3,2.2,1,0.8,1,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,동구,처리방법,재활용,79.3,18.7,17.3,0.1,0.7,0.1,0,1.5,14.9,0,0,0,0,0,1.4,43.9,17.2,1.8,1.7,9.1,6.5,0.9,0.5,0,0,0,0,0.5,0.4,0,0,0,0,5.3,16.7
부산,영도구,발생량,발생량,117.6,32,26.7,5.5,9,1.5,1.1,5.2,4.4,1.7,0.2,0.2,0,1.3,3.6,60.3,25.7,1.4,2.3,12,8.4,1.2,0.7,0,0,0,0.1,0.7,0.5,0,0,0,0.1,7.2,25.3
부산,영도구,처리방법,매립,2,2,1.1,0.2,0.5,0.1,0.1,0.2,0,0.2,0,0,0,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,영도구,처리방법,소각,9.2,9.2,7.1,1.4,3.1,0.4,0.8,1.4,0,1.1,0,0,0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,영도구,처리방법,재활용,106.4,20.8,18.5,3.9,5.4,1,0.2,3.6,4.4,0.4,0.2,0.2,0,0,1.9,60.3,25.7,1.4,2.3,12,8.4,1.2,0.7,0,0,0,0.1,0.7,0.5,0,0,0,0.1,7.2,25.3
부산,부산진구,발생량,발생량,292.8,102.8,81.4,16.6,26.5,4.3,3.2,16.7,14.1,5,0.7,0.4,0,3.9,16.4,127.2,50.1,4.9,4.8,23.8,17.8,2.4,1.5,0.1,0,0,0.2,1.2,1.1,0,0,0,0.1,19.2,62.8
부산,부산진구,처리방법,매립,5.7,5.7,1.4,0.1,0.2,0,0,0.8,0.3,0.5,0,0,0,0.5,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,부산진구,처리방법,소각,29.5,29.5,22,4.4,9.5,1.2,2.4,4.5,0,3.4,0,0,0,3.4,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,부산진구,처리방법,재활용,257.6,67.6,58,12.1,16.8,3.1,0.8,11.4,13.8,1.1,0.7,0.4,0,0,8.5,127.2,50.1,4.9,4.8,23.8,17.8,2.4,1.5,0.1,0,0,0.2,1.2,1.1,0,0,0,0.1,19.2,62.8
부산,동래구,발생량,발생량,225.8,76.4,68.1,13.7,22.5,3.6,3,14.1,11.2,4.8,0.6,0.3,0,3.9,3.5,98.9,39.8,3.5,4,18.6,14.6,2,1.3,0,0,0,0.1,1,0.9,0,0,0,0.1,13,50.5
부산,동래구,처리방법,매립,4.3,4.3,1.9,0.1,0.3,0,0,1,0.5,0.6,0,0,0,0.6,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,동래구,처리방법,소각,25.3,25.3,21.4,4.3,9.2,1.2,2.4,4.3,0,3.3,0,0,0,3.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,동래구,처리방법,재활용,196.2,46.8,44.8,9.3,13,2.4,0.6,8.8,10.7,0.9,0.6,0.3,0,0,1.1,98.9,39.8,3.5,4,18.6,14.6,2,1.3,0,0,0,0.1,1,0.9,0,0,0,0.1,13,50.5
부산,남구,발생량,발생량,209.3,63.2,59.2,11.8,19.2,3.2,2.3,12.4,10.3,4,0.5,0.3,0,3.2,0,107,45.3,3.3,4.1,21.6,14.3,2.2,1.3,0,0,0,0.1,1.3,1,0,0,0,0.1,12.4,39.1
부산,남구,처리방법,매립,2.8,2.8,2.1,0.1,0.3,0.1,0,1.1,0.5,0.7,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,남구,처리방법,소각,18.4,18.4,15.9,3.1,6.9,0.9,1.8,3.2,0,2.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,남구,처리방법,재활용,188.1,42,41.2,8.6,12,2.2,0.5,8.1,9.8,0.8,0.5,0.3,0,0,0,107,45.3,3.3,4.1,21.6,14.3,2.2,1.3,0,0,0,0.1,1.3,1,0,0,0,0.1,12.4,39.1
부산,북구,발생량,발생량,236.2,61.9,53.6,11,17.6,2.8,2.2,10.8,9.2,3.3,0.4,0.3,0,2.6,5,115.1,51.5,2,4.7,22.7,16.7,2.3,1.2,0,0,0,0.1,0.2,1.2,0,0,0,0.1,12.4,59.2
부산,북구,처리방법,매립,5.2,5.2,0.7,0,0.1,0,0,0.4,0.2,0.3,0,0,0,0.3,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,북구,처리방법,소각,17.5,17.5,15,3,6.5,0.8,1.7,3,0,2.3,0,0,0,2.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,북구,처리방법,재활용,213.5,39.2,37.9,8,11,2,0.5,7.4,9,0.7,0.4,0.3,0,0,0.6,115.1,51.5,2,4.7,22.7,16.7,2.3,1.2,0,0,0,0.1,0.2,1.2,0,0,0,0.1,12.4,59.2
부산,해운대구,발생량,발생량,274.5,86.7,71,13.9,26.8,3.7,5.3,15.2,6.1,8.5,7.4,0.2,0,0.9,7.2,109.9,47,5.8,3.4,24.5,6.6,0.6,2.1,0.1,0,0,0.2,1.8,0,0,0,0,0,17.8,77.9
부산,해운대구,처리방법,매립,5.5,5.5,2.5,0.1,0.4,0,0,1.4,0.6,0.9,0,0,0,0.9,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,해운대구,처리방법,소각,56.7,56.7,45.5,9,19.7,2.5,5,9.3,0,7.1,7.1,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,해운대구,처리방법,재활용,212.3,24.5,23,4.8,6.7,1.2,0.3,4.5,5.5,0.5,0.3,0.2,0,0,1,109.9,47,5.8,3.4,24.5,6.6,0.6,2.1,0.1,0,0,0.2,1.8,0,0,0,0,0,17.8,77.9
부산,사하구,발생량,발생량,275.5,101.5,77.9,5.8,37.5,4.1,15.2,12.2,3.1,14.7,0.5,0.2,0,14,8.9,116.9,42.3,3.1,3.5,22.8,16.1,2.9,1.7,0,0,0,0.1,0.9,0.6,0,0,0,0.2,22.7,57.1
부산,사하구,처리방법,매립,4.4,4.4,1.2,0,0,0.4,0.2,0.3,0.3,1.7,0,0.2,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,사하구,처리방법,소각,31.9,31.9,17.5,5.5,5,3.5,0,3.5,0,12,0.5,0,0,11.5,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,사하구,처리방법,재활용,239.2,65.2,59.2,0.3,32.5,0.2,15,8.4,2.8,1,0,0,0,1,5,116.9,42.3,3.1,3.5,22.8,16.1,2.9,1.7,0,0,0,0.1,0.9,0.6,0,0,0,0.2,22.7,57.1
부산,금정구,발생량,발생량,196.2,57.5,54.3,10.9,17,3,1.9,11.2,10.3,3.2,0.4,0.2,0,2.6,0,82.5,34.6,2.8,2.6,14.7,9.7,1.7,1.1,0.1,0,0,0.1,0.8,1,0,0,0,0.1,13.2,56.2
부산,금정구,처리방법,매립,2.1,2.1,1.6,0.2,0.1,0.2,0,0.8,0.3,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,금정구,처리방법,소각,16.2,16.2,14.1,2.6,5.7,0.7,1.4,2.8,0.9,2.1,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,금정구,처리방법,재활용,177.9,39.2,38.6,8.1,11.2,2.1,0.5,7.6,9.1,0.6,0.4,0.2,0,0,0,82.5,34.6,2.8,2.6,14.7,9.7,1.7,1.1,0.1,0,0,0.1,0.8,1,0,0,0,0.1,13.2,56.2
부산,강서구,발생량,발생량,78.8,41.9,37.5,1.6,9.9,1.6,2.6,11.8,10,2.3,0.2,0.2,0,1.9,2.1,6.6,2.2,0.1,0.2,1.3,1.1,0.1,1.3,0,0,0,0,0.1,0,0.2,0,0,0,0,30.3
부산,강서구,처리방법,매립,6.2,6.2,4.4,0.2,0.1,0.1,0.2,2.8,1,1.8,0.1,0.1,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,강서구,처리방법,소각,2.4,2.4,2.2,0.4,0.8,0.3,0.3,0.4,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,강서구,처리방법,재활용,70.2,33.3,30.9,1,9,1.2,2.1,8.6,9,0.3,0.1,0.1,0,0.1,2.1,6.6,2.2,0.1,0.2,1.3,1.1,0.1,1.3,0,0,0,0,0.1,0,0.2,0,0,0,0,30.3
부산,연제구,발생량,발생량,168.8,48.7,43.7,8.8,13.8,2.3,1.5,9.2,8.1,2.7,0.4,0.2,0,2.1,2.3,87.5,33.1,3,3.4,17.4,14.2,1.3,0.9,0.1,0,0,0.1,0.8,0.7,0,0,0,0.1,12.4,32.6
부산,연제구,처리방법,매립,2.8,2.8,1.5,0.1,0.2,0,0,0.8,0.4,0.5,0,0,0,0.5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,연제구,처리방법,소각,12,12,9.9,2,4.2,0.6,1.1,2,0,1.6,0,0,0,1.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,연제구,처리방법,재활용,154,33.9,32.3,6.7,9.4,1.7,0.4,6.4,7.7,0.6,0.4,0.2,0,0,1,87.5,33.1,3,3.4,17.4,14.2,1.3,0.9,0.1,0,0,0.1,0.8,0.7,0,0,0,0.1,12.4,32.6
부산,수영구,발생량,발생량,146.1,44.7,33.8,5.7,10.4,3,1.8,11.1,1.8,7,2,1.9,1.4,1.7,3.9,67.9,26.7,11.8,3,4,5.4,0.3,0.9,0.1,0,0,0.1,7.8,0,0,0,0,7.8,0,33.5
부산,수영구,처리방법,매립,3.5,3.5,0.8,0.1,0.1,0.2,0.1,0.3,0,1.4,0.5,0.4,0.3,0.2,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,수영구,처리방법,소각,12.7,12.7,10.3,1.7,3.1,1.2,0.6,3.7,0,1.7,0.4,0.4,0.3,0.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,수영구,처리방법,재활용,129.9,28.5,22.7,3.9,7.2,1.6,1.1,7.1,1.8,3.9,1.1,1.1,0.8,0.9,1.9,67.9,26.7,11.8,3,4,5.4,0.3,0.9,0.1,0,0,0.1,7.8,0,0,0,0,7.8,0,33.5
부산,사상구,발생량,발생량,191,56.4,43.7,8.7,14,2.2,1.7,9.1,8,2.9,0.4,0.3,0,2.2,9.8,85.5,34.5,2.4,3.3,17.9,12.1,1.7,1.3,0,0,0,0.1,1,0.8,0,0,0,0.1,10.3,49.1
부산,사상구,처리방법,매립,5.2,5.2,1.5,0.1,0.2,0,0,0.8,0.4,0.6,0,0,0,0.6,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,사상구,처리방법,소각,14.1,14.1,10.4,2,4.5,0.5,1.3,2.1,0,1.6,0,0,0,1.6,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,사상구,처리방법,재활용,171.7,37.1,31.8,6.6,9.3,1.7,0.4,6.2,7.6,0.7,0.4,0.3,0,0,4.6,85.5,34.5,2.4,3.3,17.9,12.1,1.7,1.3,0,0,0,0.1,1,0.8,0,0,0,0.1,10.3,49.1
부산,기장군,발생량,발생량,115.6,47.4,34.5,7.2,13.9,1.8,3.1,6.3,2.2,4.5,0.1,0,0,4.4,8.4,23.3,5,1.7,0.7,4.6,3.9,0.6,0.7,0,0,0,0.1,0.2,0.1,0.2,0,0,0,5.5,44.9
부산,기장군,처리방법,매립,4.4,4.4,0.3,0,0,0,0,0.3,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,기장군,처리방법,소각,34.1,34.1,25.8,5.3,11.2,1.3,3,5,0,4.4,0,0,0,4.4,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,기장군,처리방법,재활용,77.1,8.9,8.4,1.9,2.7,0.5,0.1,1,2.2,0.1,0.1,0,0,0,0.4,23.3,5,1.7,0.7,4.6,3.9,0.6,0.7,0,0,0,0.1,0.2,0.1,0.2,0,0,0,5.5,44.9
대구,중구,발생량,발생량,147.8,67.3,44,0.8,18,4.4,5.2,5.5,10.1,22.3,2.6,2.7,5.3,11.7,1,50.1,11.2,13.2,3.6,4.1,3.8,0.2,0.1,0,0,0,0.3,2,2,0,5,0,0.3,4.3,30.4
대구,중구,처리방법,매립,23.4,23.4,2.4,0.2,0.2,0.2,0.2,0.6,1,21,2.4,2.6,5.3,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,중구,처리방법,소각,6.4,6.4,6,0.2,1.8,1.2,0.8,0.9,1.1,0.4,0.1,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,중구,처리방법,재활용,118,37.5,35.6,0.4,16,3,4.2,4,8,0.9,0.1,0,0,0.8,1,50.1,11.2,13.2,3.6,4.1,3.8,0.2,0.1,0,0,0,0.3,2,2,0,5,0,0.3,4.3,30.4
대구,동구,발생량,발생량,359.5,163.5,151.9,10.5,34.2,2.9,1.4,30.8,72.1,11.6,3.7,2.4,0.5,5,0,108.1,15.1,7.5,1.6,9.9,9.8,0.5,18.1,0.6,0,0,0.1,4.4,14.2,0,0,0.8,12.4,13.1,87.9
대구,동구,처리방법,매립,45.9,45.9,42.6,2.9,9.7,0.8,0.4,8.7,20.1,3.3,1.1,0.7,0.1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,동구,처리방법,소각,26.6,26.6,24.7,1.7,5.5,0.5,0.2,5,11.8,1.9,0.6,0.4,0.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,동구,처리방법,재활용,287,91,84.6,5.9,19,1.6,0.8,17.1,40.2,6.4,2,1.3,0.3,2.8,0,108.1,15.1,7.5,1.6,9.9,9.8,0.5,18.1,0.6,0,0,0.1,4.4,14.2,0,0,0.8,12.4,13.1,87.9
대구,서구,발생량,발생량,221.3,109.6,99.6,7.1,22.5,2.5,1.8,20.4,45.3,10,3,2.3,1.1,3.6,0,72.7,45.2,8.6,5.7,2,2.4,0.2,0.1,0,0,0,0,0,0.9,0,0,0,3.2,4.4,39
대구,서구,처리방법,매립,45.2,45.2,40.9,3.2,9.5,1.1,0.7,8.6,17.8,4.3,1.3,1,0.4,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,서구,처리방법,소각,26.9,26.9,25.5,1.4,5.7,0.3,0.3,5.2,12.6,1.4,0.5,0.3,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,서구,처리방법,재활용,149.2,37.5,33.2,2.5,7.3,1.1,0.8,6.6,14.9,4.3,1.2,1,0.6,1.5,0,72.7,45.2,8.6,5.7,2,2.4,0.2,0.1,0,0,0,0,0,0.9,0,0,0,3.2,4.4,39
대구,남구,발생량,발생량,169.8,85.7,79.7,5.6,17.5,1.5,0.8,16.4,37.9,6,2,1.3,0.2,2.5,0,57.1,8.2,11.6,5.5,9.6,14.4,0.2,0.3,0,0,0,0.1,0,0.9,0,0,0,0.6,5.7,27
대구,남구,처리방법,매립,32.4,32.4,30.1,2.2,6.9,0.6,0.3,6,14.1,2.3,0.8,0.6,0.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,남구,처리방법,소각,14.8,14.8,13.8,0.9,3.1,0.2,0.1,2.9,6.6,1,0.3,0.2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,남구,처리방법,재활용,122.6,38.5,35.8,2.5,7.5,0.7,0.4,7.5,17.2,2.7,0.9,0.5,0.1,1.2,0,57.1,8.2,11.6,5.5,9.6,14.4,0.2,0.3,0,0,0,0.1,0,0.9,0,0,0,0.6,5.7,27
대구,북구,발생량,발생량,459,201.4,182.3,13.8,42.6,3.9,11.4,42.3,68.3,19.1,5.5,4.5,0.8,8.3,0,141.9,38.6,12.5,5.4,7.4,8.2,0.6,0.7,0.1,0,0,20.8,4.1,4.8,0,16.1,0.9,0,21.7,115.7
대구,북구,처리방법,매립,76.5,76.5,69.5,4.2,13.7,1.3,3.7,14.6,32,7,1.9,1.6,0.8,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,북구,처리방법,소각,31.4,31.4,28.6,2.5,5.8,1.2,1.4,5.7,12,2.8,0.9,0.8,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,북구,처리방법,재활용,351.1,93.5,84.2,7.1,23.1,1.4,6.3,22,24.3,9.3,2.7,2.1,0,4.5,0,141.9,38.6,12.5,5.4,7.4,8.2,0.6,0.7,0.1,0,0,20.8,4.1,4.8,0,16.1,0.9,0,21.7,115.7
대구,수성구,발생량,발생량,399.8,178.5,165.3,12.4,35.9,3.4,1.9,32.6,79.1,13.2,3.8,3,0.9,5.5,0,104.3,18.1,11.9,8.1,7.7,11,0.5,0.8,0,0,0,2.3,14,5.2,0,11.1,0.3,1,12.3,117
대구,수성구,처리방법,매립,55.6,55.6,51.5,3.8,11.2,1.1,0.5,10.2,24.7,4.1,1.2,0.9,0.2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,수성구,처리방법,소각,37.2,37.2,34.5,2.6,7.5,0.7,0.4,6.8,16.5,2.7,0.8,0.6,0.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,수성구,처리방법,재활용,307,85.7,79.3,6,17.2,1.6,1,15.6,37.9,6.4,1.8,1.5,0.5,2.6,0,104.3,18.1,11.9,8.1,7.7,11,0.5,0.8,0,0,0,2.3,14,5.2,0,11.1,0.3,1,12.3,117
대구,달서구,발생량,발생량,567,261.1,242.6,17.8,51.1,17.4,2.7,48.6,105,18.5,5.2,4.1,1.9,7.3,0,163.7,36,22.7,9,23,11.5,4,0.2,0.2,0.1,0,0.4,21.8,3.1,0,0,0.1,0.2,31.4,142.2
대구,달서구,처리방법,매립,95.9,95.9,89,6.5,22.5,2.5,1.2,19.8,36.5,6.9,2,1.6,0.8,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,달서구,처리방법,소각,81.3,81.3,75.5,6.5,13.1,1.7,0.8,14.8,38.6,5.8,1.6,1.3,0.5,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,달서구,처리방법,재활용,389.8,83.9,78.1,4.8,15.5,13.2,0.7,14,29.9,5.8,1.6,1.2,0.6,2.4,0,163.7,36,22.7,9,23,11.5,4,0.2,0.2,0.1,0,0.4,21.8,3.1,0,0,0.1,0.2,31.4,142.2
대구,달성군,발생량,발생량,232.6,109.4,101.6,0,32.3,1.8,1.2,27.2,39.1,7.8,2.9,1.8,0.4,2.7,0,64.1,19,9.7,1.6,5,9.8,0.2,0.1,0,0,0,0.1,0.6,0.3,0,7.6,0,0.3,9.8,59.1
대구,달성군,처리방법,매립,35.6,35.6,32.9,0,11.1,0.6,0.3,9.3,11.6,2.7,1,0.7,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,달성군,처리방법,소각,30.9,30.9,28.9,0,8.9,0.5,0.4,7.5,11.6,2,0.7,0.5,0.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,달성군,처리방법,재활용,166.1,42.9,39.8,0,12.3,0.7,0.5,10.4,15.9,3.1,1.2,0.6,0.2,1.1,0,64.1,19,9.7,1.6,5,9.8,0.2,0.1,0,0,0,0.1,0.6,0.3,0,7.6,0,0.3,9.8,59.1
인천,중구,발생량,발생량,133,66.2,40.8,5.1,8.5,7.2,7.4,6.7,5.9,25.4,8.1,7.4,3.3,6.6,0,16,3.4,0.9,0.4,2.2,1.6,0.1,0,0,0,0,0.1,0.1,0.2,0,0,0,0,7,50.8
인천,중구,처리방법,매립,25.4,25.4,0,0,0,0,0,0,0,25.4,8.1,7.4,3.3,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,중구,처리방법,소각,40.8,40.8,40.8,5.1,8.5,7.2,7.4,6.7,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,중구,처리방법,재활용,66.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.4,0.9,0.4,2.2,1.6,0.1,0,0,0,0,0.1,0.1,0.2,0,0,0,0,7,50.8
인천,동구,발생량,발생량,58.1,21.1,11.5,0.4,3.1,0.7,0.5,1.5,5.3,8.2,0.9,1.5,1.1,4.7,1.4,18.8,2.1,1.2,0.7,2.9,1.1,0.3,0,0,0,0,0.5,0.7,0.6,0,0.1,0,0,8.6,18.2
인천,동구,처리방법,매립,9.6,9.6,0,0,0,0,0,0,0,8.2,0.9,1.5,1.1,4.7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,동구,처리방법,소각,11.5,11.5,11.5,0.4,3.1,0.7,0.5,1.5,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,동구,처리방법,재활용,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,2.1,1.2,0.7,2.9,1.1,0.3,0,0,0,0,0.5,0.7,0.6,0,0.1,0,0,8.6,18.2
인천,미추홀구,발생량,발생량,255.5,116,84.7,0.6,16.9,6.2,6.1,5.6,49.3,31.3,2.8,3.4,2.2,22.9,0,51.3,7.9,2,1.3,18.1,3.1,0.9,1.4,0,0,0,0.1,0.9,0.9,0,0,0,0,14.7,88.2
인천,미추홀구,처리방법,매립,31.3,31.3,0,0,0,0,0,0,0,31.3,2.8,3.4,2.2,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,미추홀구,처리방법,소각,84.7,84.7,84.7,0.6,16.9,6.2,6.1,5.6,49.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,미추홀구,처리방법,재활용,139.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.3,7.9,2,1.3,18.1,3.1,0.9,1.4,0,0,0,0.1,0.9,0.9,0,0,0,0,14.7,88.2
인천,연수구,발생량,발생량,249.8,106,93.7,6.1,26.5,7.8,5.1,20.3,27.9,12.3,1.5,1.2,2.7,6.9,0,50,9.3,1,0.6,7.4,1.6,0.2,11.8,0.3,0,0,2,0.8,1.7,0,0,0,0,13.3,93.8
인천,연수구,처리방법,매립,12.3,12.3,0,0,0,0,0,0,0,12.3,1.5,1.2,2.7,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,연수구,처리방법,소각,93.7,93.7,93.7,6.1,26.5,7.8,5.1,20.3,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,연수구,처리방법,재활용,143.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9.3,1,0.6,7.4,1.6,0.2,11.8,0.3,0,0,2,0.8,1.7,0,0,0,0,13.3,93.8
인천,남동구,발생량,발생량,393,143,132.9,9.3,29.7,2.5,1.3,26.9,63.2,10.1,2.7,2.2,0.4,4.8,0,100.5,33.6,5.7,3.3,19.6,13.1,2.3,2.3,0.1,0,0,0.3,2,4.2,0,0,0,0,14,149.5
인천,남동구,처리방법,매립,30.5,30.5,28.3,2,6.3,0.5,0.3,5.7,13.5,2.2,0.6,0.5,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,남동구,처리방법,소각,112.5,112.5,104.6,7.3,23.4,2,1,21.2,49.7,7.9,2.1,1.7,0.3,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
