구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,금속캔,비닐류,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,재활용,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,(합성수지류),스틱류,수지류,,,,,,,,폐기물,,,,잔재물,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,광진구,처리방법,재활용,231.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.1,68.4,12.1,1.6,1.8,10.2,0,0.3,0,0,0,0.2,11.1,0.1,0,14,0.9,0,22.4,88.1
서울,동대문구,발생량,발생량,390.3,106.4,102.1,0.2,45.9,8.1,8.6,25.3,14,4.3,0.7,0.5,0.3,2.8,0,189.4,85.9,32.4,30.7,12,7.5,2.4,1.4,0.1,0,0,0.1,1.8,0.8,0,0,0.3,0,14,94.5
서울,동대문구,처리방법,매립,21.3,21.3,17,0.2,3.4,4.2,4.3,2.3,2.6,4.3,0.7,0.5,0.3,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,동대문구,처리방법,소각,85.1,85.1,85.1,0,42.5,3.9,4.3,23,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,동대문구,처리방법,재활용,283.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.4,85.9,32.4,30.7,12,7.5,2.4,1.4,0.1,0,0,0.1,1.8,0.8,0,0,0.3,0,14,94.5
서울,중랑구,발생량,발생량,360.7,100.6,94.1,2.5,32.1,1.2,0.9,18.8,38.6,6.5,1.9,1,0.5,3.1,0,171.8,74.4,30.7,27.8,14.1,9.8,0.6,0,0,0,0,3,0.5,1.3,0,0,0,0.6,9,88.3
서울,중랑구,처리방법,매립,19.8,19.4,18.2,0.5,6.1,0.2,0.2,3.6,7.6,1.2,0.3,0.2,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
서울,중랑구,처리방법,소각,83.4,81.2,75.9,2,26,1,0.7,15.2,31,5.3,1.6,0.8,0.4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
서울,중랑구,처리방법,재활용,257.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.8,74.4,30.7,27.8,14.1,9.8,0.6,0,0,0,0,3,0.5,1.3,0,0,0,0.6,9,85.7
서울,성북구,발생량,발생량,326.7,95.5,95.5,11.2,34.8,16.8,1.3,8,23.4,0,0,0,0,0,0,138.9,80.7,6,5,15.7,4.1,0.4,0.2,0,0,0,0.2,0,1.6,0,12,0,0,13,92.3
서울,성북구,처리방법,매립,11.7,11.7,11.7,1.7,3.8,1.5,0.5,0.5,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,성북구,처리방법,소각,83.8,83.8,83.8,9.5,31,15.3,0.8,7.5,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,성북구,처리방법,재활용,231.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.9,80.7,6,5,15.7,4.1,0.4,0.2,0,0,0,0.2,0,1.6,0,12,0,0,13,92.3
