시도,폐기물 종류,,,2019발생량,총계,,,,공공처리,,,,자가처리,,,,위탁처리,,,
,,,,,재활용,소각,매립,기타,재활용,소각,매립,기타,재활용,소각,매립,기타,재활용,소각,매립,기타
전국,합계,,,16760917.7,9451529.5,4781894.7,2465282.1,62211.4,3870263.5,4266146.6,2329381.6,23234.4,32863.2,491,995,416.7,5548402.8,515257.1,134905.5,38560.3
전국,혼합배출,소계,,7654774.3,813034.3,4454752.1,2353645.9,33342,624609.1,4074700,2229702.2,16803,0,0,0,0,188425.2,380052.1,123943.7,16539
전국,혼합배출,가연성,소계,6582204.5,753370.2,4128546.6,1670076,30211.7,581036,3772549.9,1570611,14404.8,0,0,0,0,172334.2,355996.7,99465,15806.9
전국,혼합배출,가연성,폐지류,1777903.9,156996.4,1173278,445700,1929.5,141078.4,1092842.4,418361.6,1929.5,0,0,0,0,15918,80435.6,27338.4,0
전국,혼합배출,가연성,폐합성수지류,1612074.8,211189.6,1005553.6,393575.8,1755.8,169538.8,867715,367100.9,1656.8,0,0,0,0,41650.8,137838.6,26474.9,99
전국,혼합배출,가연성,폐고무류,186951.4,36952.2,117752.5,32162.3,84.4,36449,110610.6,26146.6,84.4,0,0,0,0,503.2,7141.9,6015.7,0
전국,혼합배출,가연성,폐섬유류,321749.2,20561.4,227308.1,73635.5,244.2,17038.1,218426.6,71334.9,244.2,0,0,0,0,3523.3,8881.5,2300.6,0
전국,혼합배출,가연성,음식물류 폐기물,513876.5,41833.2,340800,114029.9,17213.4,31458.8,323964.1,105723,7330.4,0,0,0,0,10374.4,16835.9,8306.9,9883
전국,혼합배출,가연성,폐목재류,432859,102876.8,271510.8,55381.9,3089.5,22012,257310,48661.3,195.4,0,0,0,0,80864.8,14200.8,6720.6,2894.1
전국,혼합배출,가연성,기타,1736789.7,182960.6,992343.6,555590.6,5894.9,163460.9,901681.2,533282.7,2964.1,0,0,0,0,19499.7,90662.4,22307.9,2930.8
전국,혼합배출,불연성,소계,877786.8,48968.5,277950.5,548898.6,1969.2,39232,257230.1,536178.5,1969.2,0,0,0,0,9736.5,20720.4,12720.1,0
전국,혼합배출,불연성,폐금속류,158753.5,11386.1,76473.7,70726.9,166.8,8153.1,72401.1,69340.4,166.8,0,0,0,0,3233,4072.6,1386.5,0
전국,혼합배출,불연성,폐유리류,223242.8,15286.9,93799.2,113792.6,364.1,13591.4,87816,112376.3,364.1,0,0,0,0,1695.5,5983.2,1416.3,0
전국,혼합배출,불연성,폐토사류,71710.9,3154,13091.5,55457.5,7.9,1242.9,12291.1,54983.5,7.9,0,0,0,0,1911.1,800.4,474,0
전국,혼합배출,불연성,폐타일 및 도자기류,52063.4,1162,4002.7,46893.5,5.2,804.7,3842.4,44182.1,5.2,0,0,0,0,357.3,160.3,2711.4,0
전국,혼합배출,불연성,연탄재,52548.2,5542.6,4035.9,41835.5,1134.2,4955.9,3487.5,41056.6,1134.2,0,0,0,0,586.7,548.4,778.9,0
전국,혼합배출,불연성,기타,319468,12436.9,86547.5,220192.6,291,10484,77392,214239.6,291,0,0,0,0,1952.9,9155.5,5953,0
전국,혼합배출,건설폐재류,,91171.4,3371.9,22581.9,64485.5,732.1,986.5,22220,61493.9,0,0,0,0,0,2385.4,361.9,2991.6,732.1
전국,혼합배출,기타(배출불명등),,103611.6,7323.7,25673.1,70185.8,429,3354.6,22700,61418.8,429,0,0,0,0,3969.1,2973.1,8767,0
전국,재활용 가능자원 분리배출,소계,,4310428.4,3991226.8,240363,57337.6,21501,947025.5,108364,46996.3,4527.4,0,35,30,0,3044201.3,131964,10311.3,16973.6
전국,재활용 가능자원 분리배출,폐지류,종이팩,173280.4,173280.4,0,0,0,6654,0,0,0,0,0,0,0,166626.4,0,0,0
전국,재활용 가능자원 분리배출,폐지류,기타,1100695.3,1100695.3,0,0,0,79428.1,0,0,0,0,0,0,0,1021267.2,0,0,0
전국,재활용 가능자원 분리배출,고철류,,370023.9,370023.9,0,0,0,15833.3,0,0,0,0,0,0,0,354190.6,0,0,0
전국,재활용 가능자원 분리배출,금속캔,,144372.8,144372.8,0,0,0,22426.6,0,0,0,0,0,0,0,121946.2,0,0,0
전국,재활용 가능자원 분리배출,폐합성수지류,비닐류,442149.6,442149.6,0,0,0,127344.9,0,0,0,0,0,0,0,314804.7,0,0,0
전국,재활용 가능자원 분리배출,폐합성수지류,발포수지류,58771.7,58771.7,0,0,0,21409,0,0,0,0,0,0,0,37362.7,0,0,0
전국,재활용 가능자원 분리배출,폐합성수지류,PET병,188802.7,188802.7,0,0,0,71844.9,0,0,0,0,0,0,0,116957.8,0,0,0
전국,재활용 가능자원 분리배출,폐합성수지류,기타,261270.1,261270.1,0,0,0,106598.8,0,0,0,0,0,0,0,154671.3,0,0,0
전국,재활용 가능자원 분리배출,폐고무류,,13241.5,13241.5,0,0,0,446.5,0,0,0,0,0,0,0,12795,0,0,0
