구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,캔류,합성,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,수지류,스틱류,수지류,,,,,,,,폐기물,,,,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,
전국,합계,발생량,발생량,45008.9,19660.8,16346.9,1333.8,4980.5,1115.1,912.2,3546.9,4458.4,2652.7,500.9,375.5,335.5,1440.8,661.2,11946.3,3877.8,1491.7,638.1,1203,1082.1,131,141.8,16,28.5,28.3,147.2,1418.3,178.2,463.9,522.3,42.5,535.6,13401.8
전국,합계,처리방법,매립,6229.1,6092.3,3879.4,263.8,1060,205.8,172.8,818.2,1358.8,1878.5,313.2,212.7,245,1107.6,334.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.8
전국,합계,처리방법,소각,12016.7,11747.6,10847.7,935.2,3514.5,825.7,708,2253,2611.3,620.6,151.1,135.4,77.6,256.5,279.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.1
전국,합계,처리방법,재활용,26763.1,1820.9,1619.8,134.8,406,83.6,31.4,475.7,488.3,153.6,36.6,27.4,12.9,76.7,47.5,11946.3,3877.8,1491.7,638.1,1203,1082.1,131,141.8,16,28.5,28.3,147.2,1418.3,178.2,463.9,522.3,42.5,535.6,12995.9
서울,종로구,발생량,발생량,334.3,126.9,122.7,0,15.4,3.1,6.5,18.9,78.8,4.2,0.8,1.4,1,1,0,107.8,28.5,18.2,12,4.1,17,4.2,0.3,0.1,0,10,0.4,9.2,0,0,2.7,1.1,0,99.6
서울,종로구,처리방법,매립,36.4,36.4,34.7,0,0.1,0.1,0.5,1,33,1.7,0.3,0.3,0.8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,종로구,처리방법,소각,90.5,90.5,88,0,15.3,3,6,17.9,45.8,2.5,0.5,1.1,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,종로구,처리방법,재활용,207.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.8,28.5,18.2,12,4.1,17,4.2,0.3,0.1,0,10,0.4,9.2,0,0,2.7,1.1,0,99.6
서울,중구,발생량,발생량,378,186.5,185.5,0,45.8,26,19.3,28.2,66.2,1,1,0,0,0,0,105.2,52.3,11.1,2.8,11.5,7.5,0.3,0,0,0,0,0.5,19.2,0,0,0,0,0,86.3
서울,중구,처리방법,매립,37.3,37.3,36.3,0,10.8,5,5.3,4.2,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,중구,처리방법,소각,149.2,149.2,149.2,0,35,21,14,24,55.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
