구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,캔류,합성,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,수지류,스틱류,수지류,,,,,,,,폐기물,,,,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,
전국,합계,발생량,발생량,45460.3,19505,16366.6,1127.4,5371.1,1081.1,994,3265.3,4527.7,2584.7,430,394.1,327.9,1432.7,553.7,12413.3,4236.2,1582.4,686.5,1147,966.7,109.3,150.6,18.4,19,26.5,177.5,1634.5,160.8,433.5,440.4,44.7,579.3,13542
전국,합계,처리방법,매립,6465.5,6330.5,4182.3,260.3,1318.1,187.9,192.3,829.1,1394.6,1851.4,274.5,217.6,223,1136.3,296.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
전국,합계,처리방법,소각,12389,12094.4,11257.2,819,3820.3,849.8,768.6,2133.3,2866.2,621.3,115.9,150,97.7,257.7,215.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.6
전국,합계,처리방법,재활용,26605.8,1080.1,927.1,48.1,232.7,43.4,33.1,302.9,266.9,112,39.6,26.5,7.2,38.7,41,12413.3,4236.2,1582.4,686.5,1147,966.7,109.3,150.6,18.4,19,26.5,177.5,1634.5,160.8,433.5,440.4,44.7,579.3,13112.4
서울,종로구,발생량,발생량,369.7,158,153.8,0,22.4,3.1,6.5,23.9,97.9,4.2,0.8,1.4,1,1,0,104.8,27.5,17.2,11,4.1,16,4.1,0.3,0.1,0,10,0.4,10.2,0,0,2.8,1.1,0,106.9
서울,종로구,처리방법,매립,35,35,33.3,0,0.1,0.1,0.5,1,31.6,1.7,0.3,0.3,0.8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,종로구,처리방법,소각,123,123,120.5,0,22.3,3,6,22.9,66.3,2.5,0.5,1.1,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,종로구,처리방법,재활용,211.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,27.5,17.2,11,4.1,16,4.1,0.3,0.1,0,10,0.4,10.2,0,0,2.8,1.1,0,106.9
서울,중구,발생량,발생량,422.5,150.5,149.5,0,38,18.4,12.9,24,56.2,1,1,0,0,0,0,175.1,140,10.4,2.5,0.9,0.8,0,0,0,0,0,0.3,20.2,0,0,0,0,0,96.9
서울,중구,처리방법,매립,19.8,19.8,18.8,0,5.8,2.9,2,2,6.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,중구,처리방법,소각,130.7,130.7,130.7,0,32.2,15.5,10.9,22,50.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
