구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,캔류,합성,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,수지류,스틱류,수지류,,,,,,,,폐기물,,,,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,동대문구,처리방법,매립,23,23,22.5,0.9,13.4,0.9,0.1,5,2.2,0.5,0.1,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,동대문구,처리방법,소각,90.9,90.9,88.6,4.2,47.7,3.9,0.5,22.4,9.9,2.3,0.6,1.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,동대문구,처리방법,재활용,268.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,86.7,40.7,25.7,8.1,4,0,0,0,0,0,0,2.2,0,0,7.6,0,0,93.9
서울,중랑구,발생량,발생량,353.2,101.4,99.4,0,68.9,6.5,9.2,3.5,11.3,2,0.8,0.6,0.4,0.2,0,151.1,84.4,37.7,20.7,0.9,4.2,0,0,0.1,0,0,0.1,2.7,0.1,0,0,0,0.2,100.7
서울,중랑구,처리방법,매립,18.8,18.8,16.8,0,4,3,5,1,3.8,2,0.8,0.6,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,중랑구,처리방법,소각,82.6,82.6,82.6,0,64.9,3.5,4.2,2.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,중랑구,처리방법,재활용,251.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.1,84.4,37.7,20.7,0.9,4.2,0,0,0.1,0,0,0.1,2.7,0.1,0,0,0,0.2,100.7
서울,성북구,발생량,발생량,345,119,118.3,0,29.6,3,8,11.5,66.2,0.7,0,0,0,0.7,0,120.9,78.7,7.6,5.4,6.7,5.1,0,0.6,0,0,0,0.1,0,1.5,0,15,0.2,0,105.1
서울,성북구,처리방법,매립,23.7,23.7,23,0,8,1,2,3.6,8.4,0.7,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,성북구,처리방법,소각,95.3,95.3,95.3,0,21.6,2,6,7.9,57.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,성북구,처리방법,재활용,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.9,78.7,7.6,5.4,6.7,5.1,0,0.6,0,0,0,0.1,0,1.5,0,15,0.2,0,105.1
서울,강북구,발생량,발생량,227.9,80.1,77.8,3.7,41.4,3.7,0.5,18.9,9.6,2.3,0.9,0.9,0.3,0.2,0,61.1,4.2,20.3,6.2,10.5,13,0,0.6,0.3,0,0,1.9,3.2,0.2,0,0,0.4,0.3,86.7
서울,강북구,처리방법,매립,15.5,15.5,14.8,0.7,7.5,0.9,0.2,2.9,2.6,0.7,0.4,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
